Component,ExplainedVariance
PC1,0.43675276130180485
PC2,0.22535548939418384
PC3,0.1478212466170822
PC4,0.08969204957823833
PC5,0.046645208177724364
PC6,0.033508726055817194
PC7,0.014217240862553429
PC8,0.006007278012595736
