Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Burn Up Excess,"Action,Adventure,Comedy,Sci-Fi,Ecchi",6110,5458,6.54,13,25 min. per ep.,TV ,Dec 1997 , Jul 1998,12203,,,,,,,,,,False
Inugami-san to Nekoyama-san,"Comedy,Girls Love",6123,2127,6.54,12,3 min. per ep.,TV ,Apr 2014 , Jun 2014,79908,7.04,8065.0,3878.0,5119.0,76,"Nov  18, 2011 to Feb  18, 2017",[],Comic Yuri Hime,Kuzushiro (Story & Art),True
Gun Frontier,"Action,Adventure,Drama,Sci-Fi",6118,5645,6.54,13,25 min. per ep.,TV ,Mar 2002 , Jun 2002,11370,,,,,,,,,,False
Amagami SS+ Plus Picture Drama,,6107,4370,6.54,2,7 min. per ep.,Special ,Oct 2012 , Oct 2012,20506,,,,,,,,,,False
Black Jack ONA,,6108,9077,6.54,12,16 min. per ep.,ONA ,Jan 2001 , Jan 2002,3014,,,,,,,,,,False
Doraemon: Ganbare! Gian!!,"Adventure,Comedy,Fantasy",6151,10353,6.53,1,26 min.,Movie ,Mar 2001 , Mar 2001,2039,,,,,,,,,,False
Yami to Boushi to Hon no Tabibito,"Adventure,Fantasy,Girls Love,Mystery,Ecchi",6104,3603,6.54,13,24 min. per ep.,TV ,Oct 2003 , Dec 2003,30882,,,,,,,,,,False
Densetsu no Yuusha no Densetsu: Iris Report,"Action,Adventure,Fantasy",6113,4307,6.54,1,23 min.,TV Special ,Oct 2010 , Oct 2010,20040,,,,,,,,,,False
Xiang Ling Ji,"Action,Fantasy",6103,9624,6.54,15,15 min. per ep.,ONA ,Mar 2017 , Aug 2017,2567,,,,,,,,,,False
Action Heroine Cheer Fruits,"Comedy,Slice of Life",6105,4941,6.54,12,24 min. per ep.,TV ,Jul 2017 , Sep 2017,14912,,,,,,,,,,False
Uchuu Senkan Tiramisù II,"Comedy,Sci-Fi,Slice of Life",6102,5795,6.54,13,7 min. per ep.,TV ,Oct 2018 , Dec 2018,10257,,,,,,,,,,False
Touka Gettan,"Drama,Romance,Supernatural",6100,4312,6.54,26,23 min. per ep.,TV ,Apr 2007 , Sep 2007,20519,,,,,,,,,,False
.hack//Intermezzo,"Adventure,Fantasy,Mystery,Sci-Fi",6136,3989,6.53,1,24 min.,Special ,Mar 2003 , Mar 2003,23602,,,,,,,,,,False
Blue Dragon: Tenkai no Shichi Ryuu,"Adventure,Comedy,Fantasy,Supernatural",6109,4571,6.54,51,20 min. per ep.,TV ,Apr 2008 , Mar 2009,18521,,,,,,,,,,False
Ginga Tetsudou 999: Diamond Ring no Kanata e,"Adventure,Drama,Sci-Fi",6116,10490,6.54,1,16 min.,Movie ,Sep 2009 , Sep 2009,1821,,,,,,,,,,False
