Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Shinsekai yori,"Drama,Horror,Mystery,Sci-Fi,Supernatural",234,217,8.31,25,22 min. per ep.,TV ,Sep 2012 , Mar 2013,782551,7.9,994.0,12062.0,1297.0,37,"Jan  25, 2008",[],,"Kishi, Yusuke (Story)",True
Dr. Stone,"Adventure,Comedy,Sci-Fi",242,60,8.3,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1756985,8.2,418.0,39.0,187097.0,233,"Mar  6, 2017 to Mar  7, 2022",['Shounen'],Shounen Jump (Weekly),"Inagaki, Riichiro (Story), Boichi (Art)",True
Hotarubi no Mori e,"Drama,Romance,Supernatural",228,205,8.31,1,45 min.,Movie ,Sep 2011 , Sep 2011,828742,8.06,638.0,861.0,20383.0,4,"Jun  10, 2002 to Mar  24, 2003",['Shoujo'],LaLa,"Midorikawa, Yuki (Story & Art)",True
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",236,402,8.3,94,25 min. per ep.,TV ,Jan 1996 , Sep 1998,498765,8.56,104.0,139.0,96466.0,259,"Apr  12, 1994 to Sep  21, 1999",['Shounen'],Shounen Jump (Weekly),"Watsuki, Nobuhiro (Story & Art)",True
Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery",350,1021,8.18,39,23 min. per ep.,TV ,Apr 1997 , Dec 1997,223549,7.34,4257.0,16740.0,796.0,12,Nov  1997 to Jan  1998,['Shoujo'],,"Saitou, Chiho (Art), Ookouchi, Ichirou (Story)",True
Kanata no Astra,"Adventure,Mystery,Sci-Fi",448,758,8.1,12,28 min. per ep.,TV ,Jul 2019 , Sep 2019,309369,8.01,721.0,912.0,19296.0,49,"May  9, 2016 to Dec  30, 2017",['Shounen'],Shounen Jump+,"Shinohara, Kenta (Story & Art)",True
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action,Adventure,Drama,Supernatural",447,116,8.1,24,24 min. per ep.,TV ,Apr 2014 , Sep 2014,1231092,8.1,576.0,142.0,95117.0,152,"Mar  20, 1989 to Apr  14, 1992",['Shounen'],Shounen Jump (Weekly),"Araki, Hirohiko (Story & Art)",True
Hyouka,"Mystery,Slice of Life",446,87,8.1,22,25 min. per ep.,TV ,Apr 2012 , Sep 2012,1383194,8.07,615.0,977.0,18065.0,Unknown,"Jan  26, 2012 to ?",['Shounen'],Shounen Ace,"Yonezawa, Honobu (Story), Ohna, Task (Art)",True
Shokugeki no Souma,"Gourmet,Ecchi",349,53,8.18,24,25 min. per ep.,TV ,Apr 2015 , Sep 2015,1653644,7.92,928.0,45.0,177182.0,325,"Nov  26, 2012 to Aug  29, 2019",['Shounen'],Shounen Jump (Weekly),"Saeki, Shun (Art), Tsukuda, Yuuto (Story), Morisaki, Yuki (Story)",True
Hachimitsu to Clover,"Comedy,Drama,Romance,Slice of Life",546,801,8.02,24,23 min. per ep.,TV ,Apr 2005 , Sep 2005,270221,8.28,327.0,751.0,23138.0,71,"Apr  24, 2000 to Jul  28, 2006",['Josei'],Young You,"Umino, Chica (Story & Art)",True
Golden Boy,"Adventure,Comedy,Ecchi",545,594,8.02,6,28 min. per ep.,OVA ,Oct 1995 , Jun 1996,405267,7.04,8083.0,885.0,19932.0,104,Jun  1993 to Jan  1998,['Seinen'],Super Jump,"Egawa, Tatsuya (Story & Art)",True
Tamako Love Story,"Comedy,Romance,Slice of Life",645,560,7.94,1,1 hr. 23 min.,Movie ,Apr 2014 , Apr 2014,392801,7.55,2540.0,14382.0,1012.0,Unknown,"Jul  2, 2014",[],,"Horiguchi, Yukiko (Art), Ichinose, Mutsuki (Story)",True
Hokuto no Ken,"Action,Drama,Sci-Fi",599,1526,7.97,109,25 min. per ep.,TV ,Oct 1984 , Mar 1987,133003,8.11,555.0,373.0,43484.0,245,"Sep  13, 1983 to Jul  26, 1988",['Shounen'],Shounen Jump (Weekly),"Hara, Tetsuo (Art), Buronson (Story)",True
Ookiku Furikabutte,"Comedy,Sports",697,1814,7.91,25,25 min. per ep.,TV ,Apr 2007 , Sep 2007,101397,8.17,455.0,1980.0,9635.0,Unknown,"Sep  25, 2003 to ?",['Seinen'],Afternoon,"Higuchi, Asa (Story & Art)",True
Kono Oto Tomare!,"Drama,Romance",695,819,7.91,13,23 min. per ep.,TV ,Apr 2019 , Jun 2019,311185,8.69,53.0,401.0,41142.0,Unknown,"Aug  4, 2012 to ?",['Shounen'],Jump SQ.,"Sakura, Amyuu (Story & Art)",True
Drifters,"Action,Adventure,Comedy,Fantasy",689,359,7.91,12,23 min. per ep.,TV ,Oct 2016 , Dec 2016,573648,7.8,1297.0,436.0,38166.0,Unknown,"Apr  30, 2009 to ?",['Seinen'],Young King OURs,"Hirano, Kouta (Story & Art)",True
