Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3
Bakegyamon,"Action,Fantasy",5495,8627,6.65,51,25 min. per ep.,TV ,Apr 2006 , Mar 2007,3840,7.05,7908.0,18630.0,666.0,51,"Mar  1, 2006 to Mar  20, 2007",['Shounen'],Shounen Sunday,"Tamura, Mitsuhisa (Story & Art)",True,Action,Fantasy,
Dragon Crisis!,"Action,Romance,Supernatural",5504,1183,6.65,12,23 min. per ep.,TV ,Jan 2011 , Mar 2011,173608,7.43,3481.0,11562.0,1377.0,86,"Jan  25, 2007 to Mar  25, 2011",['Seinen'],,"Kizaki, Kaya (Story), Akata, Itsuki (Art)",True,Action,Romance,Supernatural
IS: Infinite Stratos,"Action,Comedy,Sci-Fi,Ecchi",5485,293,6.66,12,24 min. per ep.,TV ,Jan 2011 , Apr 2011,642923,7.05,7963.0,7732.0,2338.0,41,"May  18, 2013 to Feb  19, 2020",['Seinen'],Sunday Gene-X,"Yumizuru, Izuru (Story), Yuuki, Homura (Art)",True,Action,Comedy,Sci-Fi
Hikari no Densetsu,"Romance,Sports",5483,7493,6.66,19,24 min. per ep.,TV ,May 1986 , Sep 1986,6150,7.42,3538.0,23119.0,446.0,Unknown,1985 to Dec  1988,['Shoujo'],Margaret,"Izumi, Asou (Story & Art)",True,Romance,Sports,
Dan Doh!!,"Adventure,Sports",5471,8064,6.66,26,24 min. per ep.,TV ,Apr 2004 , Sep 2004,4700,7.3,4722.0,21503.0,514.0,Unknown,1995 to  2000,['Shounen'],Shounen Sunday,"Banjou, Daichi (Story & Art)",True,Adventure,Sports,
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,"Comedy,Slice of Life",5461,2577,6.66,12,23 min. per ep.,TV ,Jan 2020 , Mar 2020,60079,6.92,9752.0,10811.0,1514.0,79,"Jan  15, 2013 to Apr  15, 2020",['Josei'],Comic Gene,"Aki, Arata (Story & Art)",True,Comedy,Slice of Life,
Ao no Kanata no Four Rhythm,"Sci-Fi,Sports",5460,1341,6.66,12,24 min. per ep.,TV ,Jan 2016 , Mar 2016,150450,7.05,7965.0,16347.0,825.0,5,"Oct  26, 2015 to Mar  26, 2016",[],Comp Ace,"Tougarashi, Hideyu (Art)",True,Sci-Fi,Sports,
Spriggan,"Adventure,Sci-Fi",5445,3881,6.66,1,1 hr. 30 min.,Movie ,Sep 1998 , Sep 1998,36637,7.14,6675.0,5033.0,3829.0,59,"Feb  8, 1989 to Jan  25, 1996",['Shounen'],Shounen Sunday Super,"Minagawa, Ryouji (Art), Takashige, Hiroshi (Story)",True,Adventure,Sci-Fi,
Eureka Seven AO,"Action,Adventure,Drama,Sci-Fi",5379,1853,6.67,24,24 min. per ep.,TV ,Apr 2012 , Nov 2012,97065,7.0,8708.0,8640.0,2026.0,20,"Jan  26, 2012 to Sep  26, 2013",[],Shounen Ace,"Katou, Yuuichi (Art)",True,Action,Adventure,Drama
Aiura,"Comedy,Slice of Life",5371,1986,6.67,12,4 min. per ep.,TV ,Apr 2013 , Jun 2013,88306,7.06,7727.0,5286.0,3627.0,109,"Mar  2, 2011 to Apr  26, 2014",[],4-koma Nano Ace,Chama (Story & Art),True,Comedy,Slice of Life,
Arifureta Shokugyou de Sekai Saikyou,"Action,Adventure,Fantasy",5373,320,6.67,13,23 min. per ep.,TV ,Jul 2019 , Oct 2019,709756,7.69,1714.0,659.0,26285.0,92,"Jun  25, 2015 to Sep  25, 2022",[],,"TakayaKi (Art), Shirakome, Ryou (Story)",True,Action,Adventure,Fantasy
Goshuushou-sama Ninomiya-kun,"Comedy,Fantasy,Ecchi",5356,1816,6.68,12,24 min. per ep.,TV ,Oct 2007 , Dec 2007,98999,7.45,3262.0,23210.0,442.0,Unknown,"Sep  18, 2004 to Jan  20, 2009",[],Dragon Magazine,"Takanae, Kyourin (Art), Suzuki, Daisuke (Story)",True,Comedy,Fantasy,Ecchi
Digimon Xros Wars,"Action,Adventure,Comedy,Fantasy",5353,2786,6.68,30,25 min. per ep.,TV ,Jul 2010 , Mar 2011,50826,7.37,3977.0,10032.0,1679.0,22,"Jun  19, 2010 to Mar  19, 2012",['Shounen'],V-Jump,"Nakashima, Yuuki (Story & Art)",True,Action,Adventure,Comedy
Dansai Bunri no Crime Edge,"Action,Fantasy,Romance",5293,1678,6.69,13,24 min. per ep.,TV ,Apr 2013 , Jun 2013,112976,7.14,6711.0,3717.0,5347.0,67,"Mar  27, 2009 to Jul  27, 2015",['Seinen'],Comic Alive,"Hikagi, Tatsuhiko (Story & Art)",True,Action,Fantasy,Romance
