PC1,PC2,Title,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genre_1,Genre_2,Genre_3
3.6040044786136396,-0.6941416674973572,Code Geass: Hangyaku no Lelouch,8.7,50.0,17,2269727,7.96,825.0,4742.0,4078.0,Action,Drama,Sci-Fi
4.294223413757485,-0.6361863093770082,Gintama,8.95,16.0,127,1072687,8.63,78.0,144.0,93866.0,Action,Comedy,Sci-Fi
3.196643833275539,-2.0690091045165073,Ginga Eiyuu Densetsu,9.03,11.0,700,325595,8.59,96.0,1965.0,9716.0,Drama,Sci-Fi,
5.843594062149191,1.6482429175542492,Vinland Saga,8.73,43.0,102,1541813,9.06,7.0,19.0,294903.0,Action,Adventure,Drama
1.0437268022103434,-1.7134307734451972,Sora yori mo Tooi Basho,8.54,95.0,416,509120,7.29,4883.0,5169.0,3721.0,Adventure,Comedy,Drama
5.239217689885097,2.1733613931921583,Yakusoku no Neverland,8.54,96.0,39,1985378,8.16,475.0,17.0,304609.0,Mystery,Sci-Fi,Suspense
1.6293978015540804,-1.8717775893524202,Koukaku Kidoutai: Stand Alone Complex,8.43,148.0,504,399807,7.77,1393.0,7344.0,2493.0,Action,Sci-Fi,
2.3732690254202167,-1.7252426226624495,Code Geass: Hangyaku no Lelouch R2,8.91,20.0,47,1796432,7.58,2340.0,13812.0,1074.0,Action,Drama,Sci-Fi
1.7205132918893973,-1.5914217876203067,Mononoke,8.43,149.0,710,332149,7.68,1765.0,2475.0,7940.0,Fantasy,Horror,Mystery
2.303744107395504,-0.9883335900855584,Psycho-Pass,8.35,198.0,55,1644298,7.66,1858.0,8044.0,2226.0,Action,Sci-Fi,Suspense
3.1993989753053382,-0.7545690286196467,Given,8.35,195.0,387,577772,8.53,119.0,260.0,59618.0,Boys Love,Drama,Romance
3.1914400364616666,-0.4716777918563837,Mahou Shoujo Madoka★Magica,8.36,193.0,90,1300264,8.08,613.0,428.0,38754.0,Drama,Suspense,
3.302881651331099,-0.7258632437611511,Saiki Kusuo no Ψ-nan,8.43,150.0,138,1116165,8.3,305.0,528.0,32046.0,Comedy,Supernatural,
3.2974558539728682,-0.9256493501415521,Kaze no Tani no Nausicaä,8.37,187.0,575,381629,8.82,30.0,277.0,57071.0,Adventure,Fantasy,
0.8420450479177571,-2.1367514156826903,Kotarou wa Hitorigurashi,8.37,188.0,2262,157538,7.61,2183.0,8851.0,1964.0,Comedy,Slice of Life,
2.6249703350760525,-1.1817709896555981,Nodame Cantabile,8.28,249.0,662,316867,8.41,201.0,644.0,26912.0,Comedy,Drama,Romance
2.899286297036538,-1.155573985644055,Ashita no Joe,8.29,245.0,2072,94181,8.94,15.0,309.0,51006.0,Action,Drama,Slice of Life
3.646737495389476,-0.36967539350143463,Fate/Zero,8.29,246.0,68,1510444,8.51,138.0,641.0,27047.0,Action,Fantasy,Supernatural
2.82679149064487,-1.2838457559990009,Kino no Tabi: The Beautiful World,8.3,244.0,719,321008,8.68,55.0,954.0,18503.0,Action,Adventure,Slice of Life
3.1960681398430766,-0.7046552145702963,Beck,8.3,239.0,633,344988,8.69,52.0,193.0,77258.0,Comedy,Drama,Slice of Life
1.7392108871033825,-1.7733593329271717,Shinsekai yori,8.31,234.0,217,782551,7.9,994.0,12062.0,1297.0,Drama,Horror,Mystery
4.346428185102901,1.2196962772967022,Dr. Stone,8.3,242.0,60,1756985,8.2,418.0,39.0,187097.0,Adventure,Comedy,Sci-Fi
2.668927906005627,-0.9263806590502649,Hotarubi no Mori e,8.31,228.0,205,828742,8.06,638.0,861.0,20383.0,Drama,Romance,Supernatural
3.3154813194303068,-0.4249990384783246,Rurouni Kenshin: Meiji Kenkaku Romantan,8.3,236.0,402,498765,8.56,104.0,139.0,96466.0,Action,Adventure,Comedy
-0.05596323296077552,-2.2807660437283257,Shoujo Kakumei Utena,8.18,350.0,1021,223549,7.34,4257.0,16740.0,796.0,Comedy,Drama,Fantasy
1.9817406035229401,-1.081738571606293,Kanata no Astra,8.1,448.0,758,309369,8.01,721.0,912.0,19296.0,Adventure,Mystery,Sci-Fi
3.2288579476378194,0.2687784030614771,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,8.1,447.0,116,1231092,8.1,576.0,142.0,95117.0,Action,Adventure,Drama
2.883993171658803,-0.3552576912397277,Hyouka,8.1,446.0,87,1383194,8.07,615.0,977.0,18065.0,Mystery,Slice of Life,
3.8148828566707307,1.1880259131981612,Shokugeki no Souma,8.18,349.0,53,1653644,7.92,928.0,45.0,177182.0,Gourmet,Ecchi,
2.18727101695,-0.9740989432914022,Hachimitsu to Clover,8.02,546.0,801,270221,8.28,327.0,751.0,23138.0,Comedy,Drama,Romance
0.17164935177471685,-0.8122250786334726,Golden Boy,8.02,545.0,594,405267,7.04,8083.0,885.0,19932.0,Adventure,Comedy,Ecchi
0.45023400592179913,-1.7632519597144958,Tamako Love Story,7.94,645.0,560,392801,7.55,2540.0,14382.0,1012.0,Comedy,Romance,Slice of Life
1.8929044738006393,-0.8451690769995261,Hokuto no Ken,7.97,599.0,1526,133003,8.11,555.0,373.0,43484.0,Action,Drama,Sci-Fi
1.582309766179357,-1.1958830250634573,Ookiku Furikabutte,7.91,697.0,1814,101397,8.17,455.0,1980.0,9635.0,Comedy,Sports,
2.605704043982549,-0.632187366391093,Kono Oto Tomare!,7.91,695.0,819,311185,8.69,53.0,401.0,41142.0,Drama,Romance,
1.9079065019716577,-0.47650412849246887,Drifters,7.91,689.0,359,573648,7.8,1297.0,436.0,38166.0,Action,Adventure,Comedy
1.7148320357411608,-0.5534044965245926,Kotonoha no Niwa,7.92,685.0,189,871341,7.63,2084.0,1472.0,13025.0,Drama,Romance,Slice of Life
0.3289081318680949,-1.2762928949453352,Hanasaku Iroha,7.92,682.0,617,333330,7.31,4648.0,6524.0,2874.0,Comedy,Drama,Slice of Life
1.776675884030208,-1.1423069315891015,Bungou Stray Dogs: Dead Apple,7.91,688.0,905,284837,8.2,423.0,3293.0,6081.0,Action,Comedy,Mystery
3.475956223850401,0.6637761217776065,Bungou Stray Dogs,7.82,848.0,91,1409369,8.52,132.0,157.0,88304.0,Action,Comedy,Mystery
-0.09525196897499076,-1.3071111485325226,Udon no Kuni no Kiniro Kemari,7.75,996.0,1500,135688,7.34,4280.0,7687.0,2350.0,Fantasy,Slice of Life,
2.354116820780641,-0.15675180780496356,Mairimashita! Iruma-kun,7.74,997.0,516,495696,8.34,262.0,285.0,55546.0,Comedy,Fantasy,Supernatural
1.5394929466814231,-0.6854725603455173,Tsuki ga Michibiku Isekai Douchuu,7.72,1047.0,723,453233,7.96,834.0,2152.0,9041.0,Action,Adventure,Comedy
2.8057899992997166,0.5120572361041857,Kami nomi zo Shiru Sekai,7.68,1150.0,300,632370,8.47,164.0,117.0,108817.0,Comedy,Romance,Supernatural
-0.7122692222720178,-1.5948720476795963,Akage no Anne,7.72,1049.0,3613,34236,7.31,4624.0,10455.0,1586.0,Drama,Slice of Life,
0.8296732692805701,-0.7320141435214135,Saint Seiya,7.74,1000.0,1139,190500,7.54,2647.0,941.0,18807.0,Adventure,Fantasy,Sci-Fi
0.8979087643328622,-0.8983434386276175,Urusei Yatsura,7.7,1098.0,2181,90530,7.79,1330.0,1580.0,12245.0,Action,Adventure,Comedy
1.5061687022694763,0.116563359472836,Inuyashiki,7.66,1200.0,316,653870,7.59,2262.0,263.0,59130.0,Action,Drama,Sci-Fi
2.1847365825244585,-0.198036625639357,Hai to Gensou no Grimgar,7.66,1199.0,241,740397,8.25,354.0,819.0,21421.0,Action,Adventure,Drama
1.0488938567277883,-0.6814318946490778,Hana yori Dango,7.64,1244.0,2491,63086,7.92,916.0,688.0,25261.0,Drama,Romance,
2.94453604534021,0.73666114795042,Fruits Basket,7.68,1147.0,357,542402,8.52,126.0,76.0,141147.0,Drama,Fantasy,Romance
-0.3029173824817746,-1.1326778969256297,Shoujo Kakumei Utena: Adolescence Mokushiroku,7.62,1298.0,2765,54817,7.37,3977.0,5959.0,3160.0,Avant Garde,Drama,Fantasy
1.450764709799924,-0.4139073279685654,Soredemo Sekai wa Utsukushii,7.62,1299.0,705,318148,7.93,891.0,724.0,24027.0,Adventure,Fantasy,Romance
-0.42654403722330375,-1.1753989472809858,"Yondemasu yo, Azazel-san.",7.58,1399.0,3500,32764,7.41,3628.0,6724.0,2769.0,Comedy,Supernatural,
0.9627254524606025,-0.8843941567597279,Ichigo Mashimaro,7.64,1247.0,1890,112813,7.91,941.0,2575.0,7668.0,Comedy,Slice of Life,
1.4843726895232598,-0.05730473423698584,World Trigger,7.58,1398.0,511,426112,7.81,1257.0,350.0,46150.0,Action,Sci-Fi,Supernatural
0.9211239608400557,-0.6410015023235475,Tensura Nikki: Tensei shitara Slime Datta Ken,7.57,1447.0,751,342986,7.75,1486.0,3527.0,5631.0,Comedy,Fantasy,Slice of Life
-0.15442729290732873,-1.0989995427657215,Jigoku Sensei Nube,7.55,1498.0,4386,21813,7.6,2225.0,5247.0,3655.0,Adventure,Comedy,Horror
0.9565718459929778,-0.6922064260930365,Giant Killing,7.55,1494.0,2285,71370,8.0,742.0,1554.0,12509.0,Drama,Sports,
0.960235112639664,-0.6874276790673801,Densetsu no Yuusha no Densetsu,7.54,1546.0,711,303673,7.87,1061.0,4506.0,4320.0,Action,Adventure,Fantasy
0.5041012553030926,-0.988674357611084,Candy Candy,7.54,1545.0,3655,32065,7.97,795.0,4293.0,4542.0,Drama,Slice of Life,
