Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1993-03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1993-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-11,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1993-12,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
1994-01,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-03,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-04,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1994-08,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-10,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1994-12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-04,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1995-06,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995-07,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1995-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-10,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1995-12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-04,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1996-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996-06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1996-07,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996-09,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-01,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1997-04,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-11,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1998-04,5,5,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0
1998-05,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1998-06,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1998-09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1998-10,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1999-01,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-02,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-03,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
1999-04,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1999-08,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1999-10,1,3,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0
2000-01,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2000-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-04,3,3,2,2,0,2,1,0,2,0,0,0,0,0,0,0,0,1
2000-05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-10,3,2,1,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0
2001-02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-03,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-04,3,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2001-06,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2001-07,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-10,1,3,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
2001-12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-01,2,2,3,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0
2002-02,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002-03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2002-04,4,1,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2002-05,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-07,3,1,1,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0
2002-09,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2002-10,2,3,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
2003-01,1,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
2003-04,5,3,3,0,1,3,1,1,0,2,0,0,1,0,0,0,0,0
2003-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-07,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2003-10,3,5,5,2,1,2,0,0,3,1,0,1,0,0,0,0,0,0
2003-11,1,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0
2004-01,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2004-03,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2004-04,4,3,6,4,0,2,1,0,1,1,1,3,1,0,1,0,0,0
2004-05,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2004-07,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2004-08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2004-10,7,4,5,1,1,2,2,0,2,2,0,0,0,0,0,0,1,0
2004-12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01,1,0,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
2005-04,5,5,2,2,1,3,0,1,0,1,1,0,0,0,0,1,0,0
2005-06,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2005-07,2,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2005-09,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2005-10,4,4,7,2,4,2,0,1,0,3,0,2,1,0,0,0,0,0
2005-11,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2006-01,3,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2006-03,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
2006-04,8,5,9,5,3,2,2,1,2,2,1,0,0,1,0,0,0,0
2006-05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2006-07,5,3,4,5,2,4,1,0,1,0,0,0,0,0,0,0,0,0
2006-09,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10,8,7,5,4,3,1,1,4,1,2,0,1,0,0,1,0,1,0
