Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1995-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-12,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-03,3,0,2,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0
1996-05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1996-06,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1996-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-12,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-02,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1997-03,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
1997-06,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1997-08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-09,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-09,4,5,3,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
1998-10,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-12,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1999-02,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999-03,1,1,2,2,0,1,0,1,1,2,0,1,0,0,0,0,0,0
1999-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-08,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1999-09,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999-12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2000-01,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000-03,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2000-04,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-07,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000-08,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-09,2,1,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
2000-12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001-01,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2001-03,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2001-06,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2001-09,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2001-12,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-01,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2002-02,2,0,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0
2002-03,2,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2002-04,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2002-06,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
