Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
2021-10,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0
2021-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-01,3,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
2022-02,0,3,0,0,2,1,0,1,3,1,0,0,0,0,0,0,0,0
2022-03,3,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-04,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
2022-05,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-06,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-08,3,1,3,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0
2022-09,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-10,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-11,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2022-12,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03,1,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2023-04,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2023-05,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2023-08,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2023-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2023-10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2023-11,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
