Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
1995-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-05,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-01,3,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1
1996-02,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1996-06,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1996-07,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-10,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1996-11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997-01,1,1,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1997-04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1997-06,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997-10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-01,2,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
1998-04,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-10,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-01,1,2,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0
1999-02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1999-05,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1999-08,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1999-09,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999-12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01,2,1,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
2000-02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000-06,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000-07,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000-10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-01,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2001-03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001-09,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2001-10,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-12,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
2002-01,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002-03,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2002-06,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2002-08,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2002-10,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2002-12,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-01,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2003-03,1,1,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2003-04,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003-05,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-06,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2003-07,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2003-08,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
