Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
1988-05,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1988-08,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1988-11,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1989-01,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1989-02,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1989-03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989-07,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1989-08,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989-10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1990-01,1,2,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
1990-02,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1990-05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-07,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-08,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1990-09,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-11,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1991-01,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1991-04,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1991-05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-01,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1992-03,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-05,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-06,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-07,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1992-10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-01,1,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
1993-02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993-06,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1993-08,3,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0
1993-11,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1993-12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1994-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994-04,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1994-07,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1995-01,0,0,2,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
1995-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-03,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1995-04,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-09,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1995-11,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995-12,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-01,1,3,2,1,0,3,0,0,2,0,0,1,0,0,0,1,0,0
1996-04,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1996-05,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-08,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-09,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996-12,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1997-01,4,2,2,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0
1997-04,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1997-06,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1997-07,1,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
1997-09,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1997-10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1997-11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-12,0,1,2,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0
1998-01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998-03,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-04,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1998-06,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1998-07,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998-08,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1998-09,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998-10,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1998-12,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1999-01,1,0,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1
1999-03,4,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1999-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1999-05,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1999-06,0,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
1999-07,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-08,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
