Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Hyouge Mono,Other,600.0,3768,7.97,39,25 min. per ep.,TV ,Apr 2011 , Jan 2012,29089,7.89,1013.0,7275.0,2518.0,273,"Aug  18, 2005 to Nov  30, 2017",['Seinen'],Morning,"Yamada, Yoshihiro (Story & Art)",True,1
Golden Boy,Adventure,545.0,594,8.02,6,28 min. per ep.,OVA ,Oct 1995 , Jun 1996,405267,7.04,8083.0,885.0,19932.0,104,Jun  1993 to Jan  1998,['Seinen'],Super Jump,"Egawa, Tatsuya (Story & Art)",True,2
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,Comedy,594.0,4178,7.98,1,24 min.,Special ,Jun 2008 , Jun 2008,21962,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kamisama Hajimemashita OVA,Comedy,548.0,1575,8.02,2,14 min. per ep.,OVA ,Aug 2013 , Aug 2013,134414,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Durarara!!x2 Ten,Action,595.0,506,7.98,12,24 min. per ep.,TV ,Jul 2015 , Sep 2015,398837,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Working!!!,Comedy,592.0,854,7.98,13,23 min. per ep.,TV ,Jul 2015 , Sep 2015,250452,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Fate/Grand Carnival,Comedy,649.0,2973,7.94,4,15 min. per ep.,OVA ,Dec 2020 , Oct 2021,56086,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Trigun: Badlands Rumble,Action,646.0,1456,7.94,1,1 hr. 30 min.,Movie ,Apr 2010 , Apr 2010,144456,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Tamako Love Story,Comedy,645.0,560,7.94,1,1 hr. 23 min.,Movie ,Apr 2014 , Apr 2014,392801,7.55,2540.0,14382.0,1012.0,Unknown,"Jul  2, 2014",[],,"Horiguchi, Yukiko (Art), Ichinose, Mutsuki (Story)",True,2
Akagami no Shirayuki-hime 2nd Season,Drama,593.0,596,7.98,12,24 min. per ep.,TV ,Jan 2016 , Mar 2016,363497,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Haibane Renmei,Drama,598.0,793,7.97,13,24 min. per ep.,TV ,Oct 2002 , Dec 2002,291879,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
