Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Kaguya-sama wa Kokurasetai: Ultra Romantic,Comedy,13.0,404,8.99,12,23 min. per ep.,TV ,Apr 2022 , Jun 2022,945499,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
3-gatsu no Lion 2nd Season,Drama,14.0,533,8.96,22,25 min. per ep.,TV ,Oct 2017 , Mar 2018,405585,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Action,19.0,939,8.93,1,1 hr. 50 min.,Movie ,Jul 2013 , Jul 2013,242729,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Gintama.,Action,12.0,735,8.99,12,24 min. per ep.,TV ,Jan 2017 , Mar 2017,317604,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Koe no Katachi,Other,15.0,19,8.96,1,2 hr. 10 min.,Movie ,Sep 2016 , Sep 2016,2355457,8.86,24.0,24.0,265448.0,64,"Aug  7, 2013 to Nov  19, 2014",['Shounen'],Shounen Magazine (Weekly),"Ooima, Yoshitoki (Story & Art)",True,3
Mo Dao Zu Shi: Wanjie Pian,Action,49.0,2505,8.7,12,24 min. per ep.,ONA ,Aug 2021 , Oct 2021,81708,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Code Geass: Hangyaku no Lelouch,Action,50.0,17,8.7,25,24 min. per ep.,TV ,Oct 2006 , Jul 2007,2269727,7.96,825.0,4742.0,4078.0,28,"Apr  28, 2007 to Mar  1, 2008",[],The Sneaker,"Taniguchi, Gorou (Story), Ookouchi, Ichirou (Story), Iwasa, Mamoru (Story), Kumura, Takahiro (Art)",True,0
Gintama,Action,16.0,127,8.95,201,24 min. per ep.,TV ,Apr 2006 , Mar 2010,1072687,8.63,78.0,144.0,93866.0,709,"Dec  8, 2003 to Jun  20, 2019",['Shounen'],Shounen Jump (Weekly),"Sorachi, Hideaki (Story & Art)",True,0
Ginga Eiyuu Densetsu,Drama,11.0,700,9.03,110,26 min. per ep.,OVA ,Jan 1988 , Mar 1997,325595,8.59,96.0,1965.0,9716.0,94,Nov  1982 to Nov  1987,[],,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",True,0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action,48.0,763,8.71,4,30 min. per ep.,OVA ,Feb 1999 , Sep 1999,278343,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,0
Vinland Saga,Action,43.0,102,8.73,24,24 min. per ep.,TV ,Jul 2019 , Dec 2019,1541813,9.06,7.0,19.0,294903.0,Unknown,"Apr  13, 2005 to ?",['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",True,3
