Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
7.78,907.0,2152,87460,7.39,3761.0,9654.0,1761.0,"Adventure,Avant Garde,Comedy,Romance",Movie ,2
7.79,906.0,1756,149188,8.25,361.0,725.0,24005.0,"Comedy,Romance,Slice of Life",TV ,0
7.78,912.0,350,615451,7.88,1038.0,4743.0,4077.0,"Action,Adventure,Fantasy,Romance",Movie ,0
7.79,905.0,1962,94146,8.09,596.0,2132.0,9110.0,"Drama,Mystery",TV ,0
7.8,886.0,3401,39532,8.08,610.0,7616.0,2380.0,"Adventure,Drama,Sci-Fi",TV ,0
7.8,884.0,1578,133579,7.79,1312.0,5577.0,3425.0,"Comedy,Gourmet,Slice of Life",ONA ,0
7.81,873.0,629,331033,7.15,6496.0,1332.0,14235.0,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",TV ,2
7.81,867.0,1502,137525,8.1,568.0,493.0,34128.0,"Action,Adventure,Fantasy",OVA ,0
7.81,865.0,657,313741,7.35,4151.0,3032.0,6580.0,"Adventure,Comedy,Fantasy",Movie ,2
7.8,877.0,743,313217,7.8,1282.0,2805.0,7069.0,"Action,Drama",OVA ,0
7.81,863.0,601,367706,7.79,1338.0,1383.0,13756.0,"Action,Adventure",TV ,0
7.82,845.0,4140,23641,7.64,2007.0,7183.0,2553.0,"Comedy,Drama",TV ,2
7.8,879.0,7,2840448,8.52,130.0,5.0,492861.0,"Action,Fantasy,Horror",TV ,1
7.81,870.0,5049,13899,8.26,348.0,1802.0,10622.0,"Action,Adventure,Drama,Fantasy",OVA ,0
7.82,840.0,3041,48754,7.59,2301.0,4284.0,4556.0,"Drama,Girls Love",TV ,0
7.83,837.0,780,292396,7.71,1668.0,1008.0,17618.0,"Adventure,Drama,Fantasy,Slice of Life",TV ,0
7.84,811.0,503,406546,8.21,413.0,346.0,46433.0,"Horror,Mystery,Romance,Supernatural",TV ,0
7.84,809.0,54,1639122,8.09,593.0,40.0,186141.0,"Action,Comedy,Fantasy,Supernatural",TV ,0
7.85,794.0,220,804371,7.86,1079.0,238.0,64735.0,"Action,Adventure,Comedy,Fantasy,Romance,Supernatural",TV ,0
7.85,802.0,1005,231076,8.29,308.0,311.0,50862.0,"Comedy,Drama,Romance,Slice of Life",TV ,0
7.85,795.0,375,599807,8.57,102.0,112.0,110210.0,"Comedy,Supernatural",TV ,0
7.84,810.0,154,924502,7.75,1464.0,1023.0,17489.0,"Comedy,Mystery,Sci-Fi,Slice of Life",TV ,0
7.86,785.0,659,334622,7.4,3673.0,7535.0,2414.0,"Drama,Romance",Movie ,2
7.86,780.0,625,396997,8.64,73.0,154.0,89406.0,"Action,Adventure",TV ,0
7.86,777.0,4007,29355,7.85,1122.0,628.0,27604.0,"Action,Adventure,Fantasy,Romance",ONA ,0
7.86,775.0,558,471315,8.64,76.0,99.0,119615.0,"Drama,Slice of Life",TV ,0
7.86,774.0,40,1985899,7.86,1078.0,14.0,377983.0,"Action,Adventure,Fantasy",TV ,1
7.86,779.0,159,934952,8.44,188.0,186.0,79197.0,"Comedy,Romance",TV ,0
7.86,770.0,448,467643,8.06,642.0,626.0,27703.0,"Comedy,Slice of Life",TV ,0
7.87,753.0,328,600427,8.13,522.0,106.0,114883.0,"Action,Comedy,Supernatural",TV ,0
7.88,743.0,933,228823,7.28,4938.0,6099.0,3079.0,"Action,Comedy,Mystery",TV ,2
7.89,728.0,667,330984,7.03,8304.0,9339.0,1838.0,"Drama,Sci-Fi",TV ,2
7.88,742.0,599,360011,7.19,5977.0,8603.0,2039.0,"Comedy,Sci-Fi",TV ,2
7.89,727.0,209,864269,8.25,362.0,119.0,108006.0,"Drama,Slice of Life",TV ,0
7.9,721.0,4864,16273,7.54,2616.0,21296.0,523.0,"Adventure,Romance,Sci-Fi",TV ,2
