MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
97502.37273333258,-645415.2405798242,Comedy,TV ,7.78,925.0,1490,132765,7.62,2088.0,3659.0,5427.0
-195504.0329133741,765193.9559445494,Comedy,TV ,7.78,922.0,67,1572975,7.79,1316.0,453.0,37013.0
102132.92789181745,-690724.0642431556,Adventure,Movie ,7.78,907.0,2152,87460,7.39,3761.0,9654.0,1761.0
111703.25165959996,-625139.3678310671,Comedy,TV ,7.79,906.0,1756,149188,8.25,361.0,725.0,24005.0
-9395.954646120777,-174616.51373884524,Action,Movie ,7.78,912.0,350,615451,7.88,1038.0,4743.0,4077.0
109815.15222303676,-682129.1883634436,Drama,TV ,7.79,905.0,1962,94146,8.09,596.0,2132.0,9110.0
116584.06956115425,-736763.4156090827,Adventure,TV ,7.8,886.0,3401,39532,8.08,610.0,7616.0,2380.0
95098.54314624754,-645137.8603959442,Comedy,ONA ,7.8,884.0,1578,133579,7.79,1312.0,5577.0,3425.0
62300.27534296033,-449996.68577215873,Action,TV ,7.81,873.0,629,331033,7.15,6496.0,1332.0,14235.0
123765.0487407451,-634216.7221024239,Action,OVA ,7.81,867.0,1502,137525,8.1,568.0,493.0,34128.0
59244.385475173294,-468520.7321477252,Adventure,Movie ,7.81,865.0,657,313741,7.35,4151.0,3032.0,6580.0
60327.7789547981,-468852.2131411488,Action,OVA ,7.8,877.0,743,313217,7.8,1282.0,2805.0,7069.0
53407.86556212684,-414437.057616918,Action,TV ,7.81,863.0,601,367706,7.79,1338.0,1383.0,13756.0
122761.33846928072,-751836.2096880066,Comedy,TV ,7.82,845.0,4140,23641,7.64,2007.0,7183.0,2553.0
-115058.57507440765,2101134.0084657166,Action,TV ,7.8,879.0,7,2840448,8.52,130.0,5.0,492861.0
127424.25692211585,-760388.8004146361,Action,OVA ,7.81,870.0,5049,13899,8.26,348.0,1802.0,10622.0
116631.76866585204,-727182.9785261726,Drama,TV ,7.82,840.0,3041,48754,7.59,2301.0,4284.0,4556.0
75434.8960715855,-486736.86321387877,Adventure,TV ,7.83,837.0,780,292396,7.71,1668.0,1008.0,17618.0
75186.60797055453,-369352.9811779719,Horror,TV ,7.84,811.0,503,406546,8.21,413.0,346.0,46433.0
-65804.33603158029,863272.0926447437,Action,TV ,7.84,809.0,54,1639122,8.09,593.0,40.0,186141.0
4575.245764317457,22694.785377363973,Action,TV ,7.85,794.0,220,804371,7.86,1079.0,238.0,64735.0
118377.83722501383,-539336.2312748986,Comedy,TV ,7.85,802.0,1005,231076,8.29,308.0,311.0,50862.0
90438.89717530915,-166980.42801327238,Comedy,TV ,7.85,795.0,375,599807,8.57,102.0,112.0,110210.0
-67678.22593265273,129490.78038527368,Comedy,TV ,7.84,810.0,154,924502,7.75,1464.0,1023.0,17489.0
49388.220809976454,-449282.8865789498,Drama,Movie ,7.86,785.0,659,334622,7.4,3673.0,7535.0,2414.0
117761.9759668291,-368984.81733788666,Action,TV ,7.86,780.0,625,396997,8.64,73.0,154.0,89406.0
106467.01146964918,-746925.5095938351,Action,ONA ,7.86,777.0,4007,29355,7.85,1122.0,628.0,27604.0
129241.43343813885,-289781.05053752783,Drama,TV ,7.86,775.0,558,471315,8.64,76.0,99.0,119615.0
37434.36219991706,1244770.0754105465,Action,TV ,7.86,774.0,40,1985899,7.86,1078.0,14.0,377983.0
