PC1,PC2,Genres,Stream_type,Cluster
1.6239741730223634,-2.4328936919944706,Action,TV ,3
2.7228537968383906,-1.4358571868958123,Action,TV ,3
1.7271113258354984,-1.6244726853784885,Drama,OVA ,3
3.8128960770379723,-0.619740951041122,Action,TV ,1
-1.1410627701022316,-3.1045530160667583,Adventure,TV ,2
2.9439445644559274,-1.0190511250886038,Mystery,TV ,1
-0.46602648808534225,-1.852159640562619,Action,TV ,3
0.19483518130940572,-4.301230419181755,Action,TV ,2
-0.2937356141816272,-1.4382994483704956,Fantasy,TV ,3
-0.04624667427098493,-2.2373764505106624,Action,TV ,3
1.268007989956179,-0.08310238285635067,Boys Love,TV ,3
1.1848521626238224,-0.767567435215614,Drama,TV ,3
1.4217687559919892,-0.7076420485977873,Comedy,TV ,3
1.391609137662126,0.1527927009652975,Adventure,Movie ,3
-1.767805965609662,-1.8085359335477205,Comedy,ONA ,2
0.6222618931647081,0.05922270568858694,Comedy,TV ,3
0.6354327007037287,0.7613722113605016,Action,TV ,3
1.5823851953710948,-0.23961362696032165,Action,TV ,3
0.8435509526757213,0.19948004413928844,Action,TV ,3
1.1736860180873951,0.3146693506412989,Comedy,TV ,3
-0.6063435468782307,-1.9421191723645719,Drama,TV ,2
2.014775627972753,-0.37920619345361717,Adventure,TV ,3
0.6742117968995628,-0.5813120155995312,Drama,Movie ,3
1.2878359162853785,0.16373767237804976,Action,TV ,3
-3.032322266117689,-2.9243137845862215,Comedy,TV ,2
-0.3504065036951253,0.2985136846631605,Adventure,TV ,0
0.8090928674752402,0.2383182401442562,Action,TV ,3
0.5243960722089952,0.00830533623903391,Mystery,TV ,3
1.3211324427219147,-0.2885767487332766,Gourmet,TV ,3
-0.24071108788737663,0.9152721525279076,Comedy,TV ,0
-2.800206299991063,-1.8712960915200303,Adventure,OVA ,2
-2.6387552704811554,-1.3126041280074559,Comedy,Movie ,2
-0.7800245329855462,1.1263494669247365,Action,TV ,0
-1.2609184123005024,1.3142465074487286,Comedy,TV ,0
-0.006218511762312132,1.7469953203115285,Drama,TV ,0
-0.7485259111510972,0.7056906528673993,Action,TV ,0
-1.0031161751502125,0.15273113521201684,Drama,Movie ,0
-2.71560359589925,-1.0385453640398916,Comedy,TV ,2
-0.9221133760234889,1.0023502890642857,Action,Movie ,0
0.5823027875008115,1.7445249527562148,Action,TV ,0
-3.6794912316379014,-0.035653955783558906,Fantasy,TV ,2
-0.6217753221269103,2.213480268814128,Comedy,TV ,0
-1.1286713443653655,1.6248254642038422,Horror,TV ,0
-0.9984975610444278,2.3350806582359063,Slice of Life,TV ,0
-1.2231678419694554,1.0730971565145917,Comedy,TV ,0
0.05661071771049019,2.195023681011187,Action,TV ,0
-2.292293156283982,1.7310606662966856,Comedy,TV ,0
-4.104155943567456,1.1856409083275374,Comedy,TV ,2
-2.5541646298013316,0.8271089034311512,Adventure,TV ,0
-1.2791614334883559,1.5346706381589217,Action,TV ,0
-0.8160415051436514,1.4806063736997905,Drama,TV ,0
-1.2461147954067728,1.841786833557417,Comedy,TV ,0
-1.1386082121712056,1.9470672063207262,Horror,TV ,0
-2.4082929831181867,1.5072004839827813,Adventure,TV Special ,0
-0.4048892145390057,1.8917393324970306,Drama,TV ,0
-2.509976817249867,0.9313875528213645,Comedy,TV ,0
-0.5416949689834757,1.0482579005033752,Comedy,TV ,0
-3.824350550434555,-0.1759766630666475,Adventure,Movie ,2
-1.3368098919193594,2.082030124596095,Comedy,TV ,0
-1.487029701556842,0.9355560635812867,Action,Movie ,0
-1.8007024672461671,1.799933914587369,Drama,TV ,0
-2.8173154992114116,1.3967585505599973,Adventure,TV ,0
-2.3355324524151437,0.9383653084368184,Comedy,ONA ,0
-3.09294109124092,-0.518026523105574,Action,TV ,2
-1.3050689131826247,1.827080650793474,Action,OVA ,0
-2.618955406584755,-0.007437812854864002,Adventure,Movie ,2
