PC1,PC2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
-2.292293156283982,1.7310606662966856,Comedy,TV ,7.75,977.0,2147,85126,7.96,821.0,3549.0,5599.0
-4.104155943567456,1.1856409083275374,Comedy,TV ,7.76,971.0,4650,19449,7.58,2319.0,6470.0,2897.0
-2.5541646298013316,0.8271089034311512,Adventure,TV ,7.75,985.0,1085,191957,7.73,1580.0,7255.0,2526.0
-1.2791614334883559,1.5346706381589217,Action,TV ,7.76,957.0,551,368409,7.78,1343.0,203.0,73398.0
-0.8160415051436514,1.4806063736997905,Drama,TV ,7.77,942.0,184,838679,8.07,614.0,1727.0,11133.0
-1.2461147954067728,1.841786833557417,Comedy,TV ,7.76,956.0,858,257758,7.98,779.0,312.0,49911.0
-1.1386082121712056,1.9470672063207262,Horror,TV ,7.77,938.0,907,232446,8.23,379.0,1177.0,15500.0
-2.4082929831181867,1.5072004839827813,Adventure,TV Special ,7.78,932.0,2274,74058,7.79,1336.0,2418.0,8094.0
-0.4048892145390057,1.8917393324970306,Drama,TV ,7.77,933.0,292,683101,8.23,385.0,216.0,69261.0
-2.509976817249867,0.9313875528213645,Comedy,TV ,7.78,925.0,1490,132765,7.62,2088.0,3659.0,5427.0
-0.5416949689834757,1.0482579005033752,Comedy,TV ,7.78,922.0,67,1572975,7.79,1316.0,453.0,37013.0
-3.824350550434555,-0.1759766630666475,Adventure,Movie ,7.78,907.0,2152,87460,7.39,3761.0,9654.0,1761.0
-1.3368098919193594,2.082030124596095,Comedy,TV ,7.79,906.0,1756,149188,8.25,361.0,725.0,24005.0
-1.487029701556842,0.9355560635812867,Action,Movie ,7.78,912.0,350,615451,7.88,1038.0,4743.0,4077.0
-1.8007024672461671,1.799933914587369,Drama,TV ,7.79,905.0,1962,94146,8.09,596.0,2132.0,9110.0
-2.8173154992114116,1.3967585505599973,Adventure,TV ,7.8,886.0,3401,39532,8.08,610.0,7616.0,2380.0
-2.3355324524151437,0.9383653084368184,Comedy,ONA ,7.8,884.0,1578,133579,7.79,1312.0,5577.0,3425.0
-3.09294109124092,-0.518026523105574,Action,TV ,7.81,873.0,629,331033,7.15,6496.0,1332.0,14235.0
-1.3050689131826247,1.827080650793474,Action,OVA ,7.81,867.0,1502,137525,8.1,568.0,493.0,34128.0
-2.618955406584755,-0.007437812854864002,Adventure,Movie ,7.81,865.0,657,313741,7.35,4151.0,3032.0,6580.0
-1.6684881205003113,1.063043306173655,Action,OVA ,7.8,877.0,743,313217,7.8,1282.0,2805.0,7069.0
-1.4364476239001138,1.1223955233067782,Action,TV ,7.81,863.0,601,367706,7.79,1338.0,1383.0,13756.0
-3.6566091824723603,0.8247834566137682,Comedy,TV ,7.82,845.0,4140,23641,7.64,2007.0,7183.0,2553.0
2.7462082872446194,1.899701607662246,Action,TV ,7.8,879.0,7,2840448,8.52,130.0,5.0,492861.0
-2.6475240217434934,2.4153251852024766,Action,OVA ,7.81,870.0,5049,13899,8.26,348.0,1802.0,10622.0
-3.093682554966709,0.8393668054272649,Drama,TV ,7.82,840.0,3041,48754,7.59,2301.0,4284.0,4556.0
-1.5807312353558811,0.997855775857894,Adventure,TV ,7.83,837.0,780,292396,7.71,1668.0,1008.0,17618.0
